source_id;urn_cts;is_primary_text;has_pdf;anchor_external;pdf_path;digital_source;author;language;has_translation;pages;title;publisher;publication_place;source_book;notes;source_type;year;doi;discipline;txt_path
Hruska2002_ThePowerAn;;No;True;;;;Hruška B.;;No;pp. 231-234;The Power And The Writing. The Early Scribes Of Mesopotamia Bygiuseppe Visicato;;;Wiener Zeitschrift für die Kunde des Morgenlandes;;Article in Book;2002;;;
Hurowitz0000_LiteraryOb;;No;True;;;;Hurowitz V.;;No;49-57;Literary Observations On “in;;;;;Article;Unknown;;;
Jacquet0000_FamilyArch;;No;True;;;;Jacquet A.;;No;63-86;Family Archives In Mesopotamia During The Old Babylonian Period;;;;;Article in Book;Unknown;;;
Klein1996_LanguageAc;;No;True;;;;Klein W;;No;88-108;Language Acquisition At Different Ages;;;Individual Development over the Lifespan: Biological and Psychosocial Perspectives, D. Magnusson (Ed.);;Article in Book;1996;;;/Users/aima/Desktop/Practice/projectEdubba/edubbaData/edubba3_DataSourceFile/outputAnystyle/txtForAnystyle2/Klein1996_LanguageAc.txt
Knudstad0000_Excavation;;No;True;;;oi.uchicago.edu;Knudstad J.E.;;No;6-8;Excavation At Nippur;;;;;Archaeological Report;Unknown;;;
Knudstad1890_TheNippurE;;No;True;;;oi.uchicago.edu;Knudstad J.;;No;26-27;The Nippur Expedition;;;;;Archaeological Report;1890;;;
Knudstad1966_TheNippurE;;No;True;;;oi.uchicago.edu;Knudstad J.;;No;7-11;The Nippur Expedition;;;;;Archaeological Report;1966;;;
Kramer1949_Schooldays;;No;True;;;;Kramer S.N.;;No;pp. 199-215;Schooldays: A Sumerian Composition Relating To The Education Of A Scribe;;;Journal of the American Oriental Society, Oct. - Dec., 1949, Vol. 69, No. 4;;Article in Book;1949;;;
Kramer1977_TheUrExcav;;No;True;;;;Kramer S.N.;;No;41-47;The Ur Excavations And Sumerian Literature;;;;;Article in Book;1977;;;
Kraus0000_ScribalEdu;;No;True;;;;Kraus N.L.;;No;1;Scribal Education In The Sargonic Period;;;;;Article in Book;;;;
Lambert1962_ACatalogue;;No;True;;;https://www.jstor.org/stable/1359154;Lambert W.;;No;59-77 (vol 16);A Catalogue Of Texts And Authors;;;;;Article in Book;1962;;;
Lucas1979_TheScribal;;No;True;;;;Lucas;;No;pp. 305-332;The Scribal Tablet House In Ancient Mesopotamia;;;History of Education Quarterly, Autumn, 1979, Vol. 19, No. 3;;Article in Book;1979;;;
Macginnis2002_TheUseOfWr;;No;True;;;;Macginnis J.;;No;pp. 217-236;The Use Of Writing Boards In The Neo Babylonian Temple Administration At Sippar;British Institute for the Study of Iraq;;Iraq, Vol. 64 (2002);;Article in Book;2002;;;/Users/aima/Desktop/Practice/projectEdubba/edubbaData/edubba3_DataSourceFile/outputAnystyle/txtForAnystyle2/Macginnis2002_TheUseOfWr.txt
Martin1983_Settlement;;No;True;;;;Martin H.P.;;No;pp. 24-31 Vol. 45;Settlement Patterns At Shuruppak;British Institute for the Study of Iraq;;Papers of the 29 Rencontre Assyriologique Internationale, London;;Article in Book;1983;;;
